Prefix,Class Number,Class Name,Credits
ELT,471,Bus Imaging & Security App Lab,3
ELT,474,Communications Systems,3
ELT,475,Communications Systems Lab,3
ELT,478,Basic Imaging Devices,3
ELT,479,Basic Imaging Devices Lab,3
ELT,482,Security Systems,3
ELT,483,Security Systems Lab,4
ELT,622,Microcontrollers,3
ELT,623,Microcontrollers Lab,1
ELT,642,Pro.Control & Instrumentation,4
ELT,644,Process Control Instr Lab,2
ELT,652,Computer Repair & Networking,4
ELT,721,Robotics,3
ELT,722,Advanced Robotics,4
ELT,725,Intro Flexible Manufacturing,2
ELT,728,Motor Controls and Power Electronics,4
ELT,781,Electro-Mechanical Systems,2
ELT,782,Electro-Mechanical Systems Lab,2
ELT,791,Hydraulics & Pneumatics,3
ELT,792,Hydraulics & Pneumatics Lab,2
ELT,793,Advanced Fluid Power,3
ELT,816,Systems Troubleshooting,2
ELT,817,Systems Troubleshooting Lab,3
ELT,870,Electronics Capstone Project,3
ELT,932,Internship,3
ELT,950,Intro to Renewable Energy,2
ELT,951,Applied Photovoltaic Systems,4
ELE,236,Electric Utility I,5
ELE,239,Electric Utility II,4
ELE,243,Electric Utility III,3
ELE,249,Electric Utility IV,4
ELE,252,Transmission & Distribution,5
ELE,254,Safe Oper. of Power Equipment,5
ELE,265,Diagrams and Staking Sheets,1
ELE,272,Line Maintenance,3
ELE,275,Electric Uti Workplace Skills,1
ELE,901,Electric Utility Internship,5
EMS,105,IA Law Enforcement Emerg Care,1
EMS,214,Emergency Medical Technician,6
EMS,401,EMS LAB I,4
EMS,402,EMS LAB II,3
EMS,461,Role of the Paramedic,2
EMS,463,Medical/Legal/Ethical Issues,2
EMS,465,Prin of Pathophysiology I,5
EMS,466,Prin of Pathophysiology II,5
EMS,474,Patient Assessment,3
EMS,477,Medical Emergencies,5
EMS,479,Trauma,5
EMS,481,Special Considerations,1
EMS,484,Operations,1
EMS,501,EMS Clinical I,2
EMS,503,EMS Clinical II,2
EMS,505,EMS Clinical II,6
EGR,100,Engineering Orientation,1
EGR,151,Engineering Visual BASIC,2
EGR,152,Engineering MATLAB,2
EGR,155,Engineering C/C++,2
EGR,161,Engineering Computations,2
EGR,166,Engr Graphics/Concptl Design,4
EGR,180,Statics,3
EGR,290,Thermodynamics,3
EGT,400,PLTW Intro to Engr Design,3
EGT,410,PLTW Principles of Engineering,3
EGT,420,PLTW-Digital Electronics,3
EGT,450,PLTW-Computer Integrated Manuf,3
EGT,460,PLTW-Civil Engr/Architecture,3
EGT,900,Field Studies in Architecture and Engineering,5
IND,168,Explore Bus and Ind Careers,1
ENG,60,College Preparatory Writing I,3
ENG,61,College Preparatory Writing II,3
ENG,105,Composition I,3
ENG,106,Composition II,3
ENG,108,Comp II: Technical Writing,3
ENG,145,Strategies for Composition,2
ENG,221,Creative Writing,3
ENG,225,Creative Writing: Poetry,3
ENG,230,Creative Writing: Fiction,3
ENG,235,Playwriting and Screenwriting,3
ELL,98,Reading and Comm Fluency,4
ELL,99,Grammar and Writing Fluency,4
ELL,108,Reading and Comm Accuracy,4
ELL,109,Grammar and Writing Accuracy,4
ENV,103,Sustainable Living,1
ENV,115,Environmental Science,3
ENV,116,Environmental Science Lab,1
ENV,145,Conservation Biology,4
ENV,160,Restoring Plant Communities,3
FIN,101,Principles of Banking,3
FIN,121,Personal Finance,3
FIN,180,Introduction to Investments,3
FIN,214,"Stocks, Bonds and Investments",1
FIR,101,Intro. Fire Protection Tech.,3
FIR,124,Building Construction,3
FIR,127,Fire Behavior and Combustion,3
FIR,129,Hydraulics and Water Supply,3
FIR,138,Principles of Fire Prevention,3
FIR,145,Strategy and Tactics,3
FIR,152,Fire Protection Systems,3
FIR,160,Fire Inspector I,3
FIR,199,Firefighter I,8
FIR,235,Fire Investigation I,3
FIR,400,Emergency Safety & Survival,3
FLA,141,Elementary Arabic I,4
FLA,142,Elementary Arabic II,4
FLA,241,Intermediate Arabic I,4
FLA,242,Intermediate Arabic II,4
FLC,141,Elementary Chinese I,4
FLC,142,Elementary Chinese II,4
FLC,241,Intermediate Chinese I,4
FLC,242,Intermediate Chinese II,4
FLF,151,Elementary French I,5
FLF,152,Elementary French II,5
FLF,241,Intermediate French I,4
FLF,242,Intermediate French II,4
FLG,141,Elementary German I,4
FLG,142,Elementary German II,4
FLG,241,Intermediate German I,4
FLG,242,Intermediate German II,4
FLI,141,Elementary Italian I,4
FLI,142,Elementary Italian II,4
FLI,241,Intermediate Italian I,4
FLI,242,Intermediate Italian II,4
FLJ,141,Elementary Japanese I,4
FLJ,142,Elementary Japanese II,4
FLJ,241,Intermediate Japanese I,4
FLJ,242,Intermediate Japanese II,4
FLS,151,Elementary Spanish I,5
FLS,152,Elementary Spanish II,5
FLS,181,Spanish for Heritage Spkrs I,4
FLS,241,Intermediate Spanish I,4
FLS,242,Intermediate Spanish II,4
FLS,281,Spanish for Heritage Spkrs II,4
GEO,111,Intro to Geography,3
GEO,124,Reg Geog of the NonWest World,3
GEO,125,Regional Geog of the Dev World,3
GLS,199,Japan: The Changing Tradition,2
GLS,200,Country Study,3
GLS,210,International Year Seminar,3
GLS,220,The Middle East and Islam,3
GLS,230,Latin America,3
GLS,235,Intro to International Studies,3
GRD,301,Intro to Desktop Publishing,3
GRD,305,Screen Printing Methods,3
GRD,403,Communication Design I,3
GRD,404,Typography II,3
GRD,405,Typography I,3
GRD,411,Communication Design II,3
GRD,415,InDesign I,3
GRD,419,Lettering and Sign Art,2
GRD,421,Internship Preparation,3
GRD,424,Graphic Design Internship,3
GRD,426,Communication Design III,3
GRD,430,InDesign II,3
GRD,437,Communication Design IV,3
GRD,459,Illustrator,3
GRD,462,Computer Graphics II,3
GRD,463,Photoshop,3
GRD,464,Digital Artistry,3
GRD,470,Interactive Media I,3
GRD,471,Interactive Media II,3
GRD,475,After Effects for Advanced Compositing,3
GRD,900,Field Studies in Graphic Design,5
GRT,400,Intro to Printing Methods,4
GRT,403,Production Methods,2
GRT,404,Intro to Visual Communication,2
GRT,409,Project Planning & Management,3
GRT,415,Digital Imaging I,4
GRT,420,Advanced Printing Methods,4
GRT,424,Digital Imaging II,4
GRT,426,Digital Publishing III,4
GRT,427,Specialty Printing Methods,4
GRT,430,Emerging Technologies,3
GRT,433,InDesign III,3
GRT,453,Printing Methods Capstone,4
GRT,455,Digital Publishing Capstone,4
GRT,466,Digital Imaging for Print,3
GRT,932,Internship,3
HIT,120,Pharmacology for HIT,1
HIT,125,Essentials of Health Records,2
HIT,162,Data Security for Health IT,2
HIT,233,ICD-10 Coding,4
HIT,280,CPT-4 Coding,3
HIT,290,Reimbursement Methods,3
HIT,315,Electronic App for Health Dat,2
HIT,360,Introduction to HIT,3
HIT,390,Intro HIT Project Management,1
HIT,420,Legal Aspects of Health Info,2
HIT,440,Quality Management,3
HIT,450,Health Statistics,2
HIT,522,HIT Prof Prac Exp I,3
HIT,524,HIT Prof Practice Exp II,3
HSC,128,Anatomy & Phys for Allied,3
MAP,220,Medical Administrative Proc,3
MAP,547,Professional Practice Exp,3
HSC,101,Emergency Care,1
HSC,105,Intro to Health Occupations,1
HSC,109,Explore Hlth Career/Bldg Team,3
HSC,114,Medical Terminology,3
HSC,159,ESL Prep for Healthcare Educ.,3
HSC,172,Nurse Aide,3
HSC,182,Advanced Nurse Aide,3
HSC,183,CCDI-Dementia Illness Training,1
HSC,231,Medical Science Observation I,2
HSC,232,Medical Science Observation II,2
HSC,240,Human Nutrition,3
HSC,281,Limited Radiology,5
HSC,300,Med Term for Health Sciences,2
HCR,253,Residential Heating & AC,5
HCR,256,Applied Heating & AC,5
HCR,260,HVAC Trade Skills I,3
HCR,270,Advanced Heating & AC,5
HCR,290,Commercial HVAC/Refrigeration,5
HCR,307,Fundamentals of Refrigeration,5
HCR,404,Electricity,5
HCR,440,Electrical Controls & Circuits,5
HCR,506,Air Distribution,3
HCR,515,Sheet Metal Fabrication,3
HCR,717,Blueprint Reading,3
HCR,803,Environmental Controls,5
HCR,840,Computer Load Calculations,2
HCR,932,Internship,4
HIS,110,West Civ: Ancient to Early Mo,3
HIS,111,Western Civilization: Early..,3
HIS,151,U.S. History to 1877,3
HIS,152,U.S. History Since 1877,3
HIS,201,Iowa History,3
HIS,211,Modern Asian History,3
HIS,214,Russian History and Culture,3
HIS,249,Study Abroad: Brit Life & Culture,3
HIS,257,African-American History,3
HIS,274,Womens History: United State,3
HIS,280,Family History Research,3
HON,100,Introduction to Honors,2
HON,200,Honors Capstone,2
HCM,100,Sanitation & Safety,2
HCM,110,Baking (lab),2
HCM,116,Fundamentals of Baking,3
HCM,124,Advanced Baking,2
HCM,143,Food Preparation I,3
HCM,144,Food Preparation I Lab,3
HCM,152,Food Preparation II,2
HCM,153,Food Preparation II Lab,2
HCM,167,Culinary Skills Development,3
HCM,168,Advanced Culinary Cuisine,2
HCM,170,Culinary Cuisine Lab,3
HCM,172,International Cuisine (lab),3
HCM,173,International Cuisine,2
HCM,175,International Cuisine Lab II,3
HCM,200,Dining Room Service,2
HCM,210,Dining Management,2
HCM,215,Fine Dining Experience 2 Lab,2
HCM,224,Artisan Breads,2
HCM,231,Nutrition,2
HCM,240,Menu Planning & Design,2
HCM,250,Purchasing,2
HCM,270,Garde Manger,2
HCM,300,Beverage Management,2
HCM,320,Intro to Hospitality Industry,2
HCM,347,International Pastries,2
HCM,510,Work Experience,3
HCM,514,Plated Desserts,2
HCM,515,Chocolate and Sugar,2
HCM,516,Cake Decorating,2
HCM,550,Food and Wine Seminar,3
HCM,600,Intro to Lodging Operations,2
HCM,604,Hotel Service Internship,5
HCM,605,Hotel Administration,2
HSV,109,Intro to Human Services,3
HSV,130,Interviewing/Interper Relation,3
HSV,135,Womens Issues,3
HSV,185,Discrimination and Diversity,3
HSV,220,Intro to Counseling Theories,3
HSV,255,Addictive Disease Concepts,3
HSV,286,Intervention Theories/Prac I,3
HSV,803,Seminar,1
HSV,804,Internship,2
HUM,116,Encounters in Humanities,3
HUM,120,Introduction to Film,3
HUM,121,America in the Movies,3
HUM,249,Study Abroad: BritLife & Culture,3
IND,124,Control Systems Overview,2
IND,144,Pump Overhaul and Repair,4
IND,146,Mech Power Transmission I,3
IND,147,Mechanical Power Trans II,4
IND,901,Technical Internship I,5
IND,902,Technical Internship II,5
IND,903,Technical Internship III,5
IND,904,Technical Internship IV,5
INF,110,Fundamental Informatics,3
PEV,115,Varsity Baseball,1
PEV,121,"Varsity Basketball, Men",1
PEV,122,"Varsity Basketball, Women",1
PEV,130,Varsity Cross Country,1
PEV,140,Varsity Golf,1
PEV,160,Varsity Softball,1
PEV,170,Varsity Volleyball,1
PEV,190,Varsity Spirit Squad,1
INT,114,Interior Design Mat.& Finish,3
INT,124,Interior Design Analysis,3
INT,125,Interior Design Planning,3
INT,128,Historical Interiors & Arch.,3
INT,136,Lighting,3
INT,201,CAD REVIT for Interior Design,3
INT,212,Residential I,3
INT,213,Commercial I,3
INT,222,Residential II,3
INT,223,Commercial II,3
INT,262,Interior Codes & Building Str,3
ITR,101,Intro Interpret & Translation,3
ITR,102,Tools Interpret & Translate,3
ITR,103,Fund of Interpretation,3
ITR,104,Fundamentals of Translation,3
ITR,109,Interp/Trans Ethics I,3
ITR,209,Interp/Trans Ethics II,3
ITR,271,Healthcare Term & Sight Trans,3
ITR,273,Healthcare Interpretation I,3
ITR,274,Healthcare Interpretation II,3
ITR,277,Healthcare Translation,3
ITR,291,Judiciary Term & Sight Trans,3
ITR,293,Judiciary Interpretation I,3
ITR,294,Judiciary Interpretation II,3
ITR,297,Judiciary Translation,3
ITR,871,Healthcare I/T Internship,3
ITR,891,Judiciary I/T Internship,3
ITR,910,Emphasis Seminar,3
JOU,110,Intro to Mass Media,3
JOU,113,"Gender, Sexuality and Media",3
JOU,114,Diversity and the Media,3
JOU,115,Introduction to Journalism,3
JOU,121,Newswriting and Reporting,3
JOU,122,Intro to News Production,3
JOU,124,Digital Media Production,3
JOU,130,Intro to Audio Production,3
JOU,142,News Practicum I,2
JOU,143,News Practicum II,2
JOU,163,News Media and Politics,3
JOU,165,Principles of Advertising,3
JOU,167,Principles of PR,3
JOU,242,News Practicum III,2
JOU,243,News Practicum IV,2
SRV,110,Survey Drafting,3
SRV,120,US Public Lands Survey System,5
SRV,210,Safety in the Work Environment,1
SRV,215,Intro to Land Information Sys,2
SRV,220,Boundary Surveying,3
SRV,225,Surveying Ethics,2
SRV,230,Land Subdivision,3
SRV,235,Introduction to Geodesy,5
SRV,240,Boundary Law,4
SRV,305,Field Coop,5
LIT,101,Intro to Literature,3
LIT,105,Childrens Literature,3
LIT,110,Amer Literature to Mid 1800s,3
LIT,111,Amer Lit Since Mid 1800s,3
LIT,130,African-American Literature,3
LIT,142,Major British Writers,3
LIT,150,World Literature I,3
LIT,151,World Literature II,3
LIT,166,Science Fiction,3
LIT,180,Mythology,3
LIT,185,Contemporary Literature,3
LIT,188,Detective Fiction,3
LIT,190,Women Writers,3
LIT,193,Humor in Literature,3
LIT,209,Literature Film Adaptation,3
LIT,210,The Graphic Novel,3
MGT,101,Principles of Management,3
MGT,128,Organizational Behavior,3
MGT,130,Principles of Supervision,3
MGT,145,Human Relations in Management,3
MGT,147,Leadership Development,3
MGT,164,Total Quality Management,3
MGT,170,Human Resource Management,3
MGT,174,Training and Employee Dev,3
MGT,190,Employee Comp & Benefit Mgt,3
MGT,260,Intro to Business Logistics,3
MGT,266,Prin of Supply Chain Mgt.,3
MGT,800,Business Internship I,4
MGT,802,Bus. Internship Seminar I,2
MFG,105,Machine Shop Measuring,3
MFG,121,Machine Trade Printreading I,2
MFG,132,Machine Trade Printreading II,3
MFG,140,Geometric Dimension/Tolerance,1
MFG,152,Rel Weld Blueprint-Mfg Tech,1
MFG,171,Manufacturing Welding I,2
MFG,172,Related Welding-Indust Maint,3
MFG,199,Intro to Safety Science,3
MFG,250,Engine Lathe Theory,1
MFG,251,Engine Lathe Operations Lab,2
MFG,252,Engine Lathe Theory II,2
MFG,253,Engine Lathe Operations Lab II,3
MFG,260,Mill Operations Theory,1
MFG,261,Milling Operations Lab,2
MFG,270,Grinders Theory,1
MFG,271,Grinders Lab,3
MFG,273,Mill Operations II,2
MFG,274,Mill Operations Lab II,3
MFG,276,Hand & Bench Machine Tools,1
MFG,290,Heat Treatments,1
MFG,337,CNC Mill Programming Theory,2
MFG,338,CNC Mill Setup and Oper Lab,1
MFG,340,Basic Lathe Operation,1
MFG,341,Vertical Mill Operation,1
MFG,354,CNC Lathe Setup and Oper Lab,1
MFG,356,CNC Lathe Programming Theory,2
MFG,381,EDM Fundamentals,3
MFG,402,Basic Die Making Theory,4
MFG,403,Basic Die Making Lab,6
MFG,411,Progressive Die Design,3
MFG,412,Advanced Die Making Theory,4
MFG,413,Advanced Diemaking Lab,6
MFG,414,Intro to Tool Design,3
MFG,452,Moldmaking,3
MFG,502,Intro Statistical Process Cntl,3
MFG,510,Practices-Continuous Improve,3
MFG,512,Intro Quality Control Mgmt.,3
MFG,521,Measuring Devices-SPC,1
MFG,522,Appl of Statistical Methods,3
MFG,523,Controlling Mfg Business Costs,2
MFG,524,PM & Diagnosing Mech/Elec Sys,3
MFG,818,IMT Internship,5
MFG,932,Internship,4
MKT,110,Principles of Marketing,3
MKT,115,Business-to-Business Marketing,3
MKT,121,Digital Marketing,3
MKT,131,Social Media Marketing,3
MKT,135,Content Marketing,3
MKT,140,Selling,3
MKT,145,Sales Management,3
MKT,150,Principles of Advertising,3
MKT,160,Principles of Retailing,3
MKT,182,Customer Relationship Mgmt,3
MKT,184,Customer Service,3
MMS,208,Sound for Film and Video,3
MMS,217,Sound for Film and Video II,3
MMS,237,Producing & Directing Techniq,3
MMS,322,Color Correction and Grading,3
MMS,473,Motion Graphics and Spl Effec,3
MMS,480,Video Production I,3
MMS,481,Video Production II,3
MMS,482,Video Production III,3
MMS,484,Premiere/Video Editing I,3
MMS,485,Video Production IV,3
MMS,486,Premiere/Video Editing II,3
MAT,34,Arithmetic,3
MAT,53,Pre-Algebra,4
MAT,63,Elementary Algebra,4
MAT,64,College Prep Math,4
MAT,73,Elementary Algebra II,4
MAT,93,Math Study Skills,1
MAT,110,Math for Liberal Arts,3
MAT,114,Elementary Educators Math I,3
MAT,116,Elementary Educators Math II,3
MAT,121,College Algebra,4
MAT,129,Precalculus,5
MAT,130,Trigonometry,3
MAT,141,Finite Math,4
MAT,148,Linear Algebra w/Applications,4
MAT,157,Statistics,4
MAT,160,Statistical Business Appl.,2
MAT,162,Prin. of Business Statistics,4
MAT,164,Calculus for Busn/Social Sci,4
MAT,211,Calculus I,5
MAT,217,Calculus II,5
MAT,219,Calculus III,4
MAT,227,Diff Equations with Laplace,4
MAT,772,Applied Math,3
MAT,773,Applied Math II,3
MAT,900,Field Studies in Actuarial Science,4
MAP,106,Medical Office Essentials,2
MAP,110,Medical Office Management I,2
MAP,118,Medical Office Management II,4
MAP,129,Medical Terminology,1
MAP,141,Medical Insurance,3
MAP,150,Adv. Medical Billing/Coding,3
MAP,155,Medical Coding Certification Preparation,2
MAP,160,HIPAA Exam Preparation,1
MAP,225,Med Lab Procedures I,4
MAP,228,Med Lab Procedures II,3
MAP,255,Diagnostic Radiography I,3
MAP,256,Diagnostic Radiography II,1
MAP,264,Limited Radiography I,4
MAP,265,Limited Radiography II,2
MAP,347,Medical Office Procedures I,3
MAP,348,Medical Office Procedures II,3
MAP,423,Professional Development,3
MAP,532,Human Body-Health & Disease,3
MAP,544,Human Body-Health & Disease I,4
MAP,550,Health & Disease:Human Body I,3
MAP,551,Health & Disease:Human BodyII,3
MAP,554,Human Body-Health & Disease II,4
MAP,603,Employment Seminar,1
MAP,606,Professional Development III,1
MAP,624,Practicum,5
MAP,650,Industry Specific Practicum,3
MAP,806,Internship Sem. Medical Office,1
MAP,807,Internship Medical Office Spec,2
MLT,115,Clinical Lab Fundamentals,3
MLT,120,Urinalysis,3
MLT,180,Clinical Practicum I,1
MLT,232,Adv. Hematology & Coagulation,5
MLT,242,Clinical Chemistry,8
MLT,251,Clinical Microbiology,6
MLT,261,Immunohematology,5
MLT,270,Immunology & Serology,2
MLT,289,Adv. Clinical Lab Practicum,9
MLT,292,Clinical Lab Professional & Re,3
MOR,215,Funeral Law I,3
MOR,301,Intro to Funeral Service,1
MOR,302,Cremation Services,2
MOR,315,Funeral Law II,3
MOR,320,Thanatology,3
MOR,323,Funeral Directing I,2
MOR,324,Funeral Home Operations I,1
MOR,331,Funeral Home Management,2
MOR,333,Funeral Directing II,3
MOR,334,Funeral Home Operations II,1
MOR,335,Embalming I,3
MOR,336,Embalming I Clinical,1
MOR,340,Embalming II,3
MOR,341,Embalming II Clinical,1
MOR,345,Restorative Art,3
MOR,365,Survey of Infectious Diseases,2
MOR,366,Funeral Pathology,2
MOR,390,Professional Review,2
MOR,940,Funeral Capstone,1
MOR,941,Practicum,4
MUA,101,Applied Voice,1
MUA,120,Applied Piano,1
MUA,147,Applied Instrumental,1
MUS,100,Music Appreciation,3
MUS,102,Music Fundamentals,3
MUS,106,Music Theory I,4
MUS,107,Music Theory II,4
MUS,143,Concert Choir,3
MUS,202,World Music,3
MUS,204,History of Rock and Roll,3
MUS,205,Jazz History and Appreciation,3
MUS,275,Chamber Ensemble,3
MUS,329,Medieval-Renaiss. His/Theory,4
MUS,337,20th Century Music His/Theory,4
OPT,110,Ophthalmic Pretesting,2
OPT,112,Ophthalmic Specialty Testing,3
OPT,120,Basic Optical Concepts/Optics,3
OPT,123,Ocular Anatomy and Physiology,2
OPT,130,Ophthalmic Dispensing I,2
OPT,132,Ophthalmic Dispensing II,2
OPT,140,Contact Lenses,3
OPT,803,Preclinical,1
OPT,818,Clinical Externship,8
PRL,102,Intro to Paralegal Studies,3
PRL,103,Introduction to Law,3
PRL,104,Legal Tech and eDiscovery,3
PRL,105,Legal Ethics,1
PRL,112,Legal Research & Writing I,3
PRL,113,Legal Research & Writing II,3
PRL,125,Evidence: Theory & Practice,3
PRL,135,Civil Litigation and Pro,3
PRL,138,Bankruptcy Law,3
PRL,139,Torts and Personal Injury,3
PRL,143,Business Organization Law,3
PRL,151,Real Estate Law,3
PRL,155,Insurance Law and Reg Compl,3
PRL,156,Intellectual Property Law,3
PRL,161,Family Law,3
PRL,167,Probate Procedure,3
PRL,171,Administrative Law,3
PRL,174,Contracts,3
PRL,183,Employment Law,3
PRL,184,Alternative Dispute Res,3
PRL,188,Immigration Law,3
PRL,192,Criminal Law and Procedure,3
PRL,195,Environmental Law,2
PRL,220,Special Legal Topics,2
PRL,222,Construction Law and Bonds,2
PRL,223,Elder and Health Law,2
PRL,932,Internship,3
PHR,180,Pharmacy Technician Orientation and Law,3
PHR,181,Pharmacy Operations I with lab,4
PHR,182,Pharmacy Operations II w/lab,4
PHR,183,Pharmacy Calculations and Compounding w/lab,4
PHR,185,Pharmacology,4
PHR,803,Pharmacy Technician Internship I,2
PHR,804,Pharmacy Technician Internship II,2
PHI,101,Introduction to Philosophy,3
PHI,105,Introduction to Ethics,3
PHI,111,Basic Reasoning,3
PHB,113,Principles of Phlebotomy,3
PHB,280,Phlebotomy,2
PEA,102,Aerobic Fitness I,1
PEA,110,Badminton I,1
PEA,117,Bowling I,1
PEA,134,Golf I,1
PEA,144,Physical Fitness and Condition,2
PEA,146,Physical Fitness I,1
PEA,164,Swimming I,1
PEA,174,Tennis I,1
PEA,176,Volleyball I,1
PEA,184,Water Safety Inst/Lifeguard Tr,3
PEA,187,Weight Training I,1
PEA,234,Golf II,1
PEA,248,Adv. Strength & Conditioning,2
PEA,284,Advanced Lifesaving,1
PEH,102,Health,3
PEH,110,Personal Wellness,2
PEH,120,Principles Personal Training I,3
PEH,125,Prin Personal Training II,3
PEH,141,First Aid,2
PEH,162,Intro to Physical Education,3
PEH,178,Sports Diversity,3
PEH,190,Sports Nutrition,2
PEH,255,Principles-Sports Management,3
PEH,262,Wellness Prog/Planning/Organiz,3
PEH,266,Leadership Tech Fitness Prog,3
PEH,920,Field Experience,2
PET,110,Intro to Athletic Training,2
PHS,152,Astronomy,4
PHS,166,"Meteorology, Weather & Climate",4
PHY,106,Survey of Physics,4
PHY,160,General Physics I,5
PHY,161,General Physics II,5
PHY,213,Classical Physics I,6
PHY,223,Classical Physics II,6
PHY,710,Technical Physics,3
POL,111,American National Government,3
POL,112,Amer State & Local Government,3
POL,121,International Relations,3
POL,125,Comparative Govt & Politics,3
POL,129,Politics of Terrorism,3
POL,163,News Media and Politics,3
POL,171,Intro to Public Administration,3
PNN,140,Introduction to Professional Practical Nursing,2
PNN,150,Practical Nursing Concepts I,5
PNN,151,Fundamentals of Nursing,4
PNN,152,Nursing Practice I,4
PNN,153,Success in Nursing,2
PNN,250,Practical Nursing Concepts II,4
PNN,260,Practical Nursing Concepts III,6
PNN,351,Practical Nursing Roles,1
PNN,605,Nursing Practice II,5
PNN,606,Nursing Practice III,5
PSY,102,Human and Work Relations,3
PSY,111,Introduction to Psychology,3
PSY,121,Developmental Psychology,3
PSY,140,Exploring Mental Health,3
PSY,172,Stress & Stress Management,3
PSY,241,Abnormal Psychology,3
PSY,251,Social Psychology,3
PSY,261,Human Sexuality,3
PSY,281,Educational Psychology,3
PSY,291,Prin. of Behavior Modification,3
RRO,101,Railcar Safety,2
RDG,38,College Preparatory Reading I,3
RDG,39,College Preparatory Reading II,3
RDG,49,College Reading II,3
RDG,163,Speed Reading,3
CRC,100,Machine Shorthand Theory I,6
CRC,102,Machine Shorthand Skills/Techniques I,2
CRC,130,Machine Shorthand Theory II,6
CRC,132,Machine Shrthnd Skill/Tech II,2
CRC,150,Intro to Realtime Tech,3
CRC,160,Intro to Speed Development,6
CRC,165,Realtime Punct and Proof,3
CRC,175,Realtime Tech Applications,3
CRC,180,Single-voice Speed Dev I,3
CRC,183,Multi-voice Speed Dev I,4
CRC,190,Realtime Court Reprtg Proc I,4
CRC,195,Realtime Medical Terminology,3
CRC,220,Single-voice Speed Dev II,3
CRC,223,Multi-voice Speed Dev II,4
CRC,230,Realtime Court Reprtg Proc II,4
CRC,250,Single-voice Speed Dev III,3
CRC,253,Multi-voice Speed Development,4
CRC,275,Internship,3
REL,101,Survey of World Religions,3
REL,130,Intro Religions of the East,3
REL,140,Religion in the United States,3
REL,150,Introduction to the Bible,3
RCP,100,Intro to Respiratory Care,3
RCP,110,Respiratory Care Introduction,4
RCP,240,Respiratory Therapeutics,4
RCP,250,Cardio/Pulmonary Therapeutics,4
RCP,360,Cardio/Pulmonary Renal Pathop,5
RCP,400,Resp Therapy Pharmacology,3
RCP,401,Airway Pharmacology,2
RCP,405,Respiratory Care Diagnostics,2
RCP,410,Cardio/Pulmonary Diagnostics,3
RCP,500,Advanced Respiratory Therapy,5
RCP,501,Advanced Respiratory Therapy,4
RCP,601,Neonatal/Ped Resp Therapy,4
RCP,605,Neo/Peds Respiratory Care,3
RCP,640,Introduction to Sleep Medicine,2
RCP,645,Sleep Medicine I,3
RCP,650,Sleep Medicine II,3
RCP,700,Resp Therapy Practicum I,4
RCP,701,Respiratory Care Clinic I,3
RCP,702,Respiratory Care Clinic II,4
RCP,703,Respiratory Care Clinic III,6
RCP,704,Respiratory Care Clinic IV,8
RCP,705,Resp Therapy Practicum II,5
RCP,710,Resp Therapy Practicum III,7
RCP,715,Resp Therapy Practicum IV,7
RCP,720,Resp Therapy Practicum V,5
RCP,770,Sleep Practicum I,2
RCP,775,Sleep Practicum II,2
RCP,780,Sleep Practicum III,2
RCP,800,Resp Therapy Mgmt & Ethics,3
RCP,805,Comprehensive Resp Care,2
SOC,110,Introduction to Sociology,3
SOC,115,Social Problems,3
SOC,120,Marriage & Family,3
SOC,165,Group Dynamics,3
SOC,200,Minority Group Relations,3
SOC,225,Social Gerontology/Appl,4
SOC,226,Issues in Aging,2
SOC,282,Environmental Sociology,3
SPC,101,Fund of Oral Communication,3
SPC,120,Intercultural Communication,3
SPC,122,Interpersonal Communication,3
SPC,126,Interpersonal & Small Group Comm,3
SPC,170,Professional Communication,3
SDV,108,The College Experience,1
SDV,115,Study Strategies,2
SDV,157,Building a Professional Portfo,1
SDV,164,Electronic Portfolio Dev,2
SDV,165,Transfer Planning,1
SDV,171,Library Instruction,1
SDV,197,SAC Experience,1
SDV,212,Coop Career Seminar,1
SDV,222,Coop Career Experience I,1
SDV,223,Coop Career Experience II,2
SDV,224,Coop Career Experience III,3
SDV,225,Coop Career Experience IV,4
SDV,226,Coop Career Experience V,5
SDV,227,Coop Career Experience VI,6
SDV,288,Leadership Development Studies,3
SUR,105,Central Supply/Sterile Pro.,3
SUR,109,Lab Practicum I,1
SUR,130,Intro to Surgical Technology,2
SUR,140,Fundamentals of Surgical Tech,5
SUR,150,Med Terminology for Surg Tech,2
SUR,200,Surg Procedures/Techniques I,5
SUR,202,Surg Procedures/Techniques II,3
SUR,205,Surg Procedures/Techniques II,5
SUR,420,Pharmacology for Surg Tech.,2
SUR,805,Clinical Practicum I,5
SUR,810,Clinical Practicum II,5
SUR,811,Clinical Practicum II,7
SUR,910,Certification Review I,2
TEL,111,Basic Electricity/Electronic I,3
TEL,112,Basic Electricity/Electron. II,2
TEL,116,Electronic Circuits,2
TEL,118,Semiconductor Devices,3
TEL,210,Telecommunications I,3
TEL,213,Introduction Telephony Lab,3
TEL,220,Telecommunications II,4
TEL,222,Telecom Outside Plant,4
TEL,223,Telecom Transport Lab,3
TEL,230,Advanced Topics in Telecom,4
TEL,232,Data Communications,3
TEL,233,Adv Topics in Telecom Lab,3
TEL,240,Telecommunications Management,3
TEL,243,Internetworking Lab,3
WAT,100,Water and Wastewater Operator Math,2
WAT,101,Water and Wastewater Basic Science,3
WAT,102,Water and Wastewater Maintenance,4
WAT,111,WW Treatment 30-Hour,2
WAT,112,WW Treatment Lab,1
