Prefix,Class Number,Class Name,Credits
ANI,490,Intro. to Maya Animation,3
ANI,492,Demo Reel Production,6
ANI,494,Capstone Group Project,5
ANT,105,Cultural Anthropology,3
ANT,125,Applications of Anthropology,3
ANT,150,Global Issues-Local Perspec,3
ANT,202,Human Origins,3
APP,109,Creative Design Foundations,3
APP,209,Textile Science,3
APP,211,Textiles,3
APP,212,Textile Science Lab,1
APP,235,Visual Merchandising Studio,3
APP,240,Fashion Design,3
APP,255,Intro to Garment Construction,3
APP,260,Fashion Analysis and Design,3
APP,261,Fashion Industry Analysis,3
APP,265,Fashion Styling,3
APP,270,Fashion Buying,3
APP,291,Fashion Study Tour,1
APP,295,Digital Product Design,3
APP,300,Fashion Events & PR,3
APP,600,Industry Career Development,3
APP,602,Internship I,3
APP,700,Internship Seminar & Capstone,2
APP,702,Internship II,3
MLW,440,Blueprint Reading and Layout,3
MLW,441,Material Identification/Usage,3
MLW,442,Introduction to Portable Tools,3
MLW,443,Stationary Equipment,4
MLW,444,Advanced Equipment Techniques,3
MLW,445,Millimeter Cabinet Tech,3
MLW,446,Millwork Techniques,4
MLW,447,Introduction to Application,3
MLW,448,Adv Millwork Application I,5
MLW,449,Adv Millwork Application II,5
ARC,110,Intro to Architectural CAD,3
ARC,111,Intermediate Arch 2D CAD,2
ARC,113,Architectural Drafting I,4
ARC,115,Arch 3D Computer Modeling,2
ARC,123,Arch Residential Drafting I,3
ARC,124,Arch Residential Drafting II,3
ARC,133,Commercial Architecture/BIM I,3
ARC,134,Commercial Architecture/BIM II,3
ARC,160,Materials & Assemblies I,2
ARC,170,Materials & Assemblies II,2
ARC,172,Materials & Assemblies III,2
ARC,173,Materials & Assemblies IV,2
ARC,183,Materials and Assemblies V,2
ARC,187,Contract Doc Tech I,2
ARC,188,Contract Doc Tech II,2
ARC,190,Presentation Graphics,3
ARC,273,Architectural Design,3
ARC,932,Internship,2
ART,101,Art Appreciation,3
ART,102,Arts for Elementary Education,3
ART,133,Drawing Lab,3
ART,136,Life Drawing,3
ART,143,Painting,3
ART,148,Landscape Painting,3
ART,173,Ceramics,3
ART,174,Ceramics II,3
ART,176,Tilemaking,3
ART,184,Principles of Photography,3
ART,186,Principles Digital Photograph,3
ART,189,Commercial Photography 1,3
ART,190,History of Photography,3
ART,192,Portrait Photography 1,3
ART,194,Portfolio Photography 1,3
ART,195,Design: Exploring Art Media,3
ART,197,Photography Assistant Basics,3
ART,203,Art History I,3
ART,204,Art History II,3
ART,225,Photoshop for Photography,3
ART,226,Alternative Photo Processes,3
